jid,spg_number,spg_symbol,formula,formation_energy_peratom,func,optb88vdw_bandgap,atoms,slme,magmom_oszicar,spillage,elastic_tensor,effective_masses_300K,kpoint_length_unit,maxdiff_mesh,maxdiff_bz,encut,optb88vdw_total_energy,epsx,epsy,epsz,mepsx,mepsy,mepsz,modes,magmom_outcar,max_efg,avg_elec_mass,avg_hole_mass,icsd,dfpt_piezo_max_eij,dfpt_piezo_max_dij,dfpt_piezo_max_dielectric,dfpt_piezo_max_dielectric_electronic,dfpt_piezo_max_dielectric_ionic,max_ir_mode,min_ir_mode,n-Seebeck,p-Seebeck,n-powerfact,p-powerfact,ncond,pcond,nkappa,pkappa,ehull,Tc_supercon,dimensionality,efg,xml_data_link,typ,exfoliation_energy,spg,crys,density,poisson,raw_files,nat,bulk_modulus_kv,shear_modulus_gv,mbj_bandgap,hse_gap,reference,search
JVASP-14351,128,P4/mnc,Rb2TeI6,-0.81776,OptB88vdW,1.424,"{'lattice_mat': [[7.9452473117325715, -0.0, 0.0], [0.0, 7.9452473117325715, 0.0], [0.0, -0.0, 12.262730595787124]], 'coords': [[0.0, 3.972625, 3.0656825], [3.972625, 0.0, 3.0656825], [0.0, 3.972625, 9.1970475], [3.972625, 0.0, 9.1970475], [0.0, 0.0, 0.0], [3.972625, 3.972625, 6.131365], [6.31396754609307, 5.4531173713147565, 0.0], [2.3413425460930677, 6.464757628685243, 6.131365], [5.603907453906929, 1.4804923713147562, 6.131365], [2.4921326286852445, 6.31396754609307, 0.0], [5.4531173713147565, 1.6312824539069324, 0.0], [0.0, 0.0, 9.276100229549435], [3.972625, 3.972625, 9.117994770450563], [6.464757628685243, 5.603907453906929, 6.131365], [3.972625, 3.972625, 3.1447352295494326], [0.0, 0.0, 2.9866175077205965], [1.6312824539069324, 2.4921326286852445, 0.0], [1.4804923713147562, 2.3413425460930677, 6.131365]], 'elements': ['Rb', 'Rb', 'Rb', 'Rb', 'Te', 'Te', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'], 'abc': [7.94525, 7.94525, 12.26273], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",28.34,0.0,na,"[[24.7, 5.9, 10.8, 0.0, -0.0, 0.0], [5.9, 24.7, 10.8, 0.0, -0.0, -0.0], [10.8, 10.8, 24.2, -0.0, -0.0, -0.0], [-0.0, -0.0, -0.0, 4.8, -0.0, -0.0], [-0.0, 0.0, -0.0, -0.0, 6.7, 0.0], [0.0, -0.0, -0.0, -0.0, 0.0, 6.7]]","{'p': [0.6, 0.6, 20.25], 'n': [0.59, 0.59, 0.31]}",30,na,na,500,-0.39165,8.1333,8.1333,7.41,6.7098,6.7091,6.3198,"[-6.34, -0.1, -0.06, 19.71, 27.91, 29.17, 29.73, 31.79, 42.15, 43.2, 44.83, 45.2, 47.73, 48.24, 50.9, 53.29, 56.29, 57.73, 58.73, 61.95, 67.32, 67.58, 71.05, 72.74, 73.47, 73.97, 76.08, 76.46, 101.31, 102.59, 102.98, 108.58, 110.6, 115.74, 146.3, 150.63, 150.81, 153.2]",0.0,na,na,na,36009,na,na,na,na,na,na,na,-210.9433333333333,364.84666666666664,2238.47,2064.6766666666667,50807.33666666667,12491.39,181513166666666.66,78637633666666.67,0.0,na,intercalated ion,[],<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-14351.xml target='_blank' >JVASP-14351</a>,bulk,na,128,tetragonal,4.547,0.3,"['FD-ELAST,JVASP-14351.zip,https://ndownloader.figshare.com/files/22984787', 'OPT-LOPTICS,JVASP-14351.zip,https://ndownloader.figshare.com/files/24246053', 'OPT-Bandst,JVASP-14351.zip,https://ndownloader.figshare.com/files/23789537', 'TBMBJ,JVASP-14351.zip,https://ndownloader.figshare.com/files/23603267', 'DFT-SCF,JVASP-14351.zip,https://ndownloader.figshare.com/files/23215982']",18,14.29,6.71,1.751,na,mp-28070,-I-Rb-Te
JVASP-99414,225,Fm-3m,K2PrAgI6,-1.15228,OptB88vdW,2.643,"{'lattice_mat': [[7.434815051202466, -0.0, 4.292492471186826], [2.4782716837341554, 7.009610852764095, 4.292492471186826], [-0.0, -0.0, 8.58498494237365]], 'coords': [[7.434817499999999, 5.2572075, 12.877469999999999], [2.4782725, 1.7524025, 4.29249], [4.956545, 3.504805, 8.58498], [0.0, 0.0, 0.0], [6.22025209432229, 1.717655897210263, 6.3961792957571335], [2.4291333609253702, 1.717655897210263, 8.58498], [3.692837905677709, 5.291954102789737, 10.773780704242865], [3.692837905677709, 5.291954102789737, 6.3961792957571335], [6.22025209432229, 1.717655897210263, 10.773780704242865], [7.483956639074629, 5.291954102789737, 8.58498]], 'elements': ['K', 'K', 'Pr', 'Ag', 'I', 'I', 'I', 'I', 'I', 'I'], 'abc': [8.584988, 8.584983, 8.58498], 'angles': [60.0, 60.0, 60.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '']}",1.9,0.0,na,na,"{'p': 'na', 'n': 'na'}",30,na,na,500,-0.83895,na,na,na,3.7572,3.757,3.7678,na,0.0,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.074,na,intercalated ion,[],<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-99414.xml target='_blank' >JVASP-99414</a>,bulk,na,225,cubic,4.04,na,[],10,na,na,3.368,na,mp-1112088,-Ag-I-K-Pr
JVASP-86884,121,I-42m,Tl2CdSnTe4,-0.3093,OptB88vdW,0.329,"{'lattice_mat': [[6.818309838321142, -0.021147358194233, -1.8885280133641615], [-3.9498262617194553, 5.5577573057451035, -1.8885280076006186], [0.0109565447667478, 0.0211473497617966, 7.075010392719363]], 'coords': [[-1.969435, 2.789455, 2.5932399999999998], [3.414635, 0.0, 2.5932399999999998], [1.4342400000000002, 2.7683050000000002, -1.88853], [0.0, 0.0, 0.0], [0.21568779358011458, 5.21460967135957, -2.864684010733505], [0.17778532244848444, 0.3431503074878659, 4.274662707103391], [1.2189785979060621, 2.3528155683284857, 0.9755953143597438], [4.135468286065339, 3.1837944528240794, -2.8646840107296283]], 'elements': ['Tl', 'Tl', 'Cd', 'Sn', 'Te', 'Te', 'Te', 'Te'], 'abc': [7.075051, 7.075055, 7.07505], 'angles': [105.3933, 105.3933, 117.9768], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '']}",25.94,0.0,na,"[[35.0, 17.4, 15.5, 0.0, -0.0, 0.0], [17.4, 35.0, 15.5, 0.0, -0.0, 0.0], [15.5, 15.5, 52.1, 0.0, -0.0, 0.0], [0.0, 0.0, 0.0, 13.2, 0.0, 0.0], [-0.0, -0.0, -0.0, 0.0, 13.4, -0.0], [0.0, 0.0, 0.0, 0.0, -0.0, 13.4]]","{'p': 'na', 'n': 'na'}",35,na,na,500,-0.45613,15.0123,15.6581,15.1862,10.5427,11.0373,10.6756,na,0.0,na,na,na,172503,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.0053,na,intercalated ion,[],<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-86884.xml target='_blank' >JVASP-86884</a>,bulk,na,121,tetragonal,7.126,0.28,"['OPT-LOPTICS,JVASP-86884.zip,https://ndownloader.figshare.com/files/25256621', 'OPT-Bandst,JVASP-86884.zip,https://ndownloader.figshare.com/files/24010901', 'TBMBJ,JVASP-86884.zip,https://ndownloader.figshare.com/files/23704832', 'DFT-SCF,JVASP-86884.zip,https://ndownloader.figshare.com/files/23568569']",8,24.32,12.91,0.777,na,mp-570076,-Cd-Sn-Te-Tl
JVASP-28758,156,P3m1,MoWSeS3,-0.81086,OptB88vdW,0.825,"{'lattice_mat': [[3.225265557449817, 8.5744e-12, 8.255e-13], [-1.6126332787107482, 2.7932045168985065, -0.0003249919126173], [8.404e-12, -0.0041479370763585, 32.87732362085171]], 'coords': [[3.334881064446291e-06, 1.862624579320933, 2.957723785751834], [1.6126382792370193, 0.9298707858375161, 9.187880822454659], [4.946992209563899e-06, 1.8607609536788752, 15.403472177157346], [1.6126382767900829, 0.9269039885477829, 21.862192107016647], [3.3312587892801626e-06, 1.8579977787117092, 23.58132549771412], [1.7177337973233144e-06, 1.8579349064774624, 20.140701705103158], [3.332846346527962e-06, 1.860505147498573, 10.74341965957314], [1.612641503312007, 0.9301858241535599, 1.4031785223124271], [1.6126398927088914, 0.9297511004313889, 13.839713285263718], [1.6126366711931406, 0.9330255736997043, 4.513816915798165], [1.6126415060540678, 0.929752943549665, 16.968215740519636], [-1.504567420024332e-06, 1.8611723206927973, 7.631990577015041]], 'elements': ['Mo', 'Mo', 'W', 'W', 'Se', 'Se', 'S', 'S', 'S', 'S', 'S', 'S'], 'abc': [3.22527, 3.225297, 32.87732], 'angles': [90.0119, 90.0, 119.9996], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '']}",23.34,0.0,0.052,"[[161.6, 37.5, -1.9, 0.0, 0.0, 0.0], [37.5, 161.6, -1.9, 0.0, 0.1, 0.0], [-1.9, -1.9, -8.4, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 61.9, -0.0, 0.1], [0.0, 0.1, 0.2, -0.0, 0.8, -0.0], [0.0, 0.0, 0.0, 0.1, -0.0, -0.9]]","{'p': 'na', 'n': 'na'}",30,na,na,700,-5.35672,12.3991,12.3983,7.4116,na,na,na,"[-1.94, -0.61, -0.2, 8.77, 9.99, 14.82, 17.11, 17.45, 23.93, 24.67, 31.29, 46.18, 102.43, 123.82, 126.29, 129.42, 136.86, 148.78, 150.43, 164.66, 167.02, 168.93, 169.97, 170.0, 192.26, 214.86, 224.12, 225.34, 236.75, 240.2, 241.77, 241.78, 243.89, 261.35, 263.42, 270.64, 270.71, 271.67, 271.72, 281.97, 282.02, 289.9, 291.39, 304.58, 305.99, 314.45, 318.68, 323.29, 330.94, 335.41, 335.43, 341.29, 342.29, 343.26, 344.01, 353.5, 355.63, 362.85, 362.91, 363.62, 363.72, 365.87, 366.7, 390.04, 390.89, 391.18, 393.24, 396.22, 404.91, 417.12, 447.88, 449.45]",0.0,na,na,na,,0.05314,6.098657090807466,12.08584126,11.97784384,0.22960056,449.44,7.43,na,na,na,na,na,na,na,na,0.1229,na,2D-bulk,[],<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-28758.xml target='_blank' >JVASP-28758</a>,bulk,na,156,trigonal,5.101,-0.7,"['FD-ELAST,JVASP-28758.zip,https://ndownloader.figshare.com/files/23049854', 'DFPT,JVASP-28758.zip,https://ndownloader.figshare.com/files/22950932', 'OPT-LOPTICS,JVASP-28758.zip,https://ndownloader.figshare.com/files/24277967', 'OPT-Bandst,JVASP-28758.zip,https://ndownloader.figshare.com/files/23872427', 'TBMBJ,JVASP-28758.zip,https://ndownloader.figshare.com/files/23626454', 'DFT-SCF,JVASP-28758.zip,https://ndownloader.figshare.com/files/23311913']",12,42.47,31.1,na,na,mp-1027624,-Mo-S-Se-W
JVASP-5425,87,I4/m,AgClO3,-0.00437,OptB88vdW,2.556,"{'lattice_mat': [[6.798989482170995, 0.4013323165183245, -2.34245137840513], [-3.46439709119791, 5.797489078342941, -2.5022938508242896], [0.2398234720288184, -0.401333360298666, 7.187198675949404]], 'coords': [[0.86115, 4.448449999999999, -1.2511425], [-0.9765156799361628, 1.634146106297355, 1.4187547135098926], [-2.2480643200638366, 3.7620138937026444, 3.266155286490107], [2.71326, 1.34904, 3.5936025000000003], [2.236564111134118, 1.6147382115468574, -0.32047641987889136], [5.853310885793234, 1.204687788211126, 2.641201249520135], [-2.278900885793232, 4.5928022117888725, -0.298741249520133], [1.3378458888658338, 4.1827517884531416, 2.6629364198789056], [1.3810538450674206, 5.48812452427128, -3.3359130035432747], [0.9630774192901532, 0.29013982691638923, 2.363526570602307], [0.3551384757072794, 3.1575962011491243, 3.1673331345566282], [2.6211210073164333, 3.412935067518701, 2.3980609534819552], [-1.5010791226808258, 4.413776568983796, -1.5919991618624403], [2.611332580709823, 5.507350173083651, -0.02106657060232483], [2.19335615493258, 0.3093654757287174, 5.678373003543324], [3.2192715242927203, 2.639893798850878, -0.8248731345566299], [4.893529433835774, 1.584466583138981, 1.5431630069534898], [-1.3191194338357748, 4.213023416861019, 0.7992969930465134], [0.9532889926835666, 2.384554932481299, -0.05560095348195515], [5.0754891226808265, 1.3837134310162038, 3.9344591618624407]], 'elements': ['Ag', 'Ag', 'Ag', 'Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [7.202389, 7.202389, 7.20239], 'angles': [114.0517, 107.2307, 107.2307], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",0.0,0.0,na,na,"{'p': [5.01, 4.31, 4.58], 'n': [0.61, 0.59, 0.6]}",15,na,na,1350,-1.88331,3.8262,3.9637,3.911,2.851,2.9499,2.9124,na,0.0,177.789,na,na,30227,na,na,na,na,na,na,na,-127.98666666666668,351.05,793.7533333333332,523.32,48492.68333333333,4228.1900000000005,104502279999999.98,33201966666666.652,0.1913,na,3D-bulk,"[['O', 'h', '26.333', '128.055', '-62.546', '128.055', '37.187', '-66.52', '-62.546', '-66.52', '-63.519'], ['O', 'i', '-98.549', '42.981', '32.681', '42.981', '3.442', '125.188', '32.681', '125.188', '95.107'], ['Cl', 'h', '101.238', '67.211', '-108.327', '67.211', '31.956', '177.789', '-108.327', '177.789', '-133.194'], ['Ag', 'e', '-5.713', '-9.851', '-8.553', '-9.851', '4.887', '14.313', '-8.553', '14.313', '0.826'], ['Ag', 'd', '-16.512', '-28.474', '-24.722', '-28.474', '14.123', '41.369', '-24.722', '41.369', '2.389']]",<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-5425.xml target='_blank' >JVASP-5425</a>,bulk,na,87,tetragonal,4.44,na,"['OPT-LOPTICS,JVASP-5425.zip,https://ndownloader.figshare.com/files/24041114', 'OPT-Bandst,JVASP-5425.zip,https://ndownloader.figshare.com/files/23723861', 'TBMBJ,JVASP-5425.zip,https://ndownloader.figshare.com/files/23572019', 'DFT-SCF,JVASP-5425.zip,https://ndownloader.figshare.com/files/23132636']",20,na,na,4.175,na,mp-27941,-Ag-Cl-O
JVASP-36296,216,F-43m,KCuO,-0.3422,OptB88vdW,0.0,"{'lattice_mat': [[2.918937323250046, 2.918937323250046, -0.0], [2.918937323250046, 0.0, -2.918937323250046], [0.0, 2.918937323250046, -2.918937323250046]], 'coords': [[2.91894, 2.91894, -2.91894], [0.0, 0.0, 0.0], [4.378410000000001, 4.378410000000001, -4.378410000000001]], 'elements': ['K', 'Cu', 'O'], 'abc': [4.128005, 4.128005, 4.128005], 'angles': [60.0, 60.0, 60.0], 'cartesian': True, 'props': ['', '', '']}",10.8,0.0,na,"[[105.1, 24.6, 24.6, 0.0, -0.0, -0.0], [24.6, 105.1, 24.6, 0.0, 0.0, 0.0], [24.6, 24.6, 105.1, -0.0, 0.0, -0.0], [0.0, 0.0, -0.0, -17.3, -0.0, 0.0], [-0.0, 0.0, 0.0, -0.0, -17.3, 0.0], [-0.0, 0.0, -0.0, 0.0, 0.0, -17.3]]","{'p': [0.0, 0.0, 0.0], 'n': [0.0, 0.0, 0.0]}",20,na,na,850,-0.81304,10.861,10.861,10.861,2.956,2.956,2.9561,"[-158.18, -87.76, -49.33, 0.89, 0.89, 176.48, 239.13, 288.76, 292.33, 300.62]",0.0,na,0.0,0.0,,0.38575,22.297687861271676,8.63536385,7.79991658,0.83544727,0.7,0.0,-76.52,-20.55,469.49,25.88,80176.64,61265.81,231950510000000.0,258993069999999.97,0.8223,na,3D-bulk,[],<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-36296.xml target='_blank' >JVASP-36296</a>,bulk,na,216,cubic,3.961,0.69,"['FD-ELAST,JVASP-36296.zip,https://ndownloader.figshare.com/files/23036315', 'DFPT,JVASP-36296.zip,https://ndownloader.figshare.com/files/22953734', 'OPT-LOPTICS,JVASP-36296.zip,https://ndownloader.figshare.com/files/24288605', 'OPT-Bandst,JVASP-36296.zip,https://ndownloader.figshare.com/files/23876642', 'TBMBJ,JVASP-36296.zip,https://ndownloader.figshare.com/files/23642369', 'DFT-SCF,JVASP-36296.zip,https://ndownloader.figshare.com/files/23330510']",3,51.43,5.72,0.416,na,mp-1009020,-Cu-K-O
JVASP-8575,221,Pm-3m,AlBiO3,-2.26995,OptB88vdW,2.059,"{'lattice_mat': [[3.7835494601592443, -0.0, -0.0], [0.0, 3.7835494601592443, -0.0], [0.0, 0.0, 3.7835494601592443]], 'coords': [[1.891775, 1.891775, 1.891775], [0.0, 0.0, 0.0], [1.891775, 0.0, 1.891775], [1.891775, 1.891775, 0.0], [0.0, 1.891775, 1.891775]], 'elements': ['Al', 'Bi', 'O', 'O', 'O'], 'abc': [3.78355, 3.78355, 3.78355], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",6.48,0.0,na,"[[333.3, 131.7, 131.7, -0.0, 0.0, 0.0], [131.7, 333.3, 131.7, -0.0, 0.0, 0.0], [131.7, 131.7, 333.3, 0.0, -0.0, -0.0], [-0.0, -0.0, 0.0, 142.8, 0.0, 0.0], [0.0, 0.0, -0.0, 0.0, 142.8, 0.0], [0.0, 0.0, -0.0, 0.0, 0.0, 142.8]]","{'p': [0.95, 0.95, 0.95], 'n': [0.29, 0.29, 0.29]}",25,na,na,850,-4.88403,7.8389,7.8389,7.8389,6.3754,6.3756,6.3754,"[-161.92, -0.05, -0.05, -0.05, 243.58, 390.32, 693.5]",0.0,7.868,0.29,0.9499999999999998,"158756,157549",0.0,0.0,9.19552998,7.90937713,1.28615285,0.76,0.19,-141.1,366.78,1885.57,3130.6299999999997,94710.65999999999,23271.42333333333,227274540000000.03,211768850000000.0,0.0828,na,3D-bulk,"[['Al', 'b', '-0.0', '-0.0', '-0.0', '-0.0', '-0.0', '0.0', '-0.0', '0.0', '0.0'], ['Bi', 'a', '-0.0', '-0.0', '-0.0', '-0.0', '-0.0', '0.0', '-0.0', '0.0', '-0.0'], ['O', 'c', '3.934', '-0.0', '0.0', '-0.0', '-7.868', '0.0', '0.0', '0.0', '3.934']]",<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-8575.xml target='_blank' >JVASP-8575</a>,bulk,na,221,cubic,8.706,0.24,"['FD-ELAST,JVASP-8575.zip,https://ndownloader.figshare.com/files/22980875', 'DFPT,JVASP-8575.zip,https://ndownloader.figshare.com/files/22946036', 'OPT-LOPTICS,JVASP-8575.zip,https://ndownloader.figshare.com/files/24223976', 'OPT-Bandst,JVASP-8575.zip,https://ndownloader.figshare.com/files/23723969', 'TBMBJ,JVASP-8575.zip,https://ndownloader.figshare.com/files/23606222', 'DFT-SCF,JVASP-8575.zip,https://ndownloader.figshare.com/files/23175617']",5,198.9,126.0,2.849,na,mp-23080,-Al-Bi-O
JVASP-109824,1,P1,Li3VO3F2,-2.74487,OptB88vdW,2.465,"{'lattice_mat': [[3.6602954527709506, -0.0022812286117599, -0.0316458834839983], [1.8499564469426024, 4.071916844709185, 2.6324899225668545], [0.0176584071123907, 0.7022040012842059, 6.447685797744002]], 'coords': [[1.8461212332089394, 3.2618346522186763, 5.421281802885225], [3.6880916422296077, 3.263166351926486, 7.571480465899395], [3.6560147010583077, 1.7921353814640508, 3.6459409603906727], [0.10691132324318231, 0.7670908890229052, 6.308389890351451], [1.849795889954289, 4.074912889910125, 7.398975565292783], [3.664204778324238, 3.877279031127557, 2.764533471923684], [3.683652559072528, 2.408840112640447, 5.82530856730735], [1.8277838029696691, 2.372037162926241, 3.695039683241079], [3.6510359518222235, 0.8570991402606827, 1.9089724836118747]], 'elements': ['Li', 'Li', 'Li', 'V', 'O', 'O', 'O', 'F', 'F'], 'abc': [3.660438, 5.189691, 6.485839], 'angles': [53.8296, 90.3404, 69.416], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '']}",6.39,0.0,na,"[[110.9, 61.1, 70.1, -2.6, -0.6, -6.7], [61.1, 122.4, 6.3, 0.2, -2.5, -0.1], [70.1, 6.3, 118.6, 1.0, 11.6, 0.3], [-2.6, 0.2, 1.0, 51.3, -0.3, 3.2], [-0.6, -2.5, 11.6, -0.3, 23.3, 1.2], [-6.7, -0.1, 0.3, 3.2, 1.2, 45.7]]","{'p': 'na', 'n': 'na'}",20,na,na,500,-4.72297,5.391,4.5936,3.9958,4.3668,3.8162,3.3499,na,0.0,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.0542,na,intercalated ion,[],<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-109824.xml target='_blank' >JVASP-109824</a>,bulk,na,1,triclinic,2.933,0.29,[],9,69.66,38.35,2.855,na,mp-761111,-F-Li-O-V
JVASP-43776,9,Cc,Ge2N2O,-0.51685,OptB88vdW,2.363,"{'lattice_mat': [[-4.36855447032391, 2.2138626725633737, 2.2138626725633737], [-2.19072649897149, -4.569973324644084, 2.343084275852626], [2.19072649897149, -2.343084275852626, 4.569973324644084]], 'coords': [[-2.180523402963039, -4.642086696471832, 6.800019527375162], [-2.16374048038493, -2.355850844242568, 4.566640456761899], [-4.36479840296304, -0.15827777697481657, 4.530070607878145], [-4.348015480384947, -2.3916568475881097, 6.816306460107427], [-3.104962548164381, -3.337764115214251, 5.825154627956252], [-3.3831910536690777, -1.4042710581616409, 3.536386793446333], [-0.9206897388943923, -3.347000333313763, 3.620528619165752], [-1.1989182443990873, -5.635768167823683, 5.5540216762183645], [-1.185934074088594, -1.4733521513488004, 1.330793186789489], [-1.179476883358584, -1.0575295475905173, 5.355722809921216]], 'elements': ['Ge', 'Ge', 'Ge', 'Ge', 'N', 'N', 'N', 'N', 'O', 'O'], 'abc': [5.374624, 5.583363, 5.583363], 'angles': [57.7903, 98.8955, 81.1045], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '']}",0.04,0.0,na,na,"{'p': [2.79, 5.03, 5.03], 'n': [0.3, 0.33, 0.33]}",25,na,na,1200,-4.32975,4.6916,4.661,4.661,2.4258,2.2299,2.2299,na,0.0,105.098,na,na,,0.6884,na,8.77529659,4.72331275,4.05198384,4.25,0.0,-89.12333333333333,412.67,589.7166666666667,842.7933333333334,73810.17666666665,5014.9800000000005,131995776666666.67,54179163333333.336,0.0796,na,3D-bulk,"[['Ge', 'a', '25.068', '4.682', '-4.861', '4.682', '-2.314', '-14.641', '-4.861', '-14.641', '-22.755'], ['N', 'a', '7.066', '-34.131', '-43.781', '-34.131', '-0.598', '-40.292', '-43.781', '-40.292', '-6.468'], ['O', 'a', '9.78', '-25.145', '105.098', '-25.145', '-15.886', '-3.43', '105.098', '-3.43', '6.106']]",<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-43776.xml target='_blank' >JVASP-43776</a>,bulk,na,9,monoclinic,4.681,na,"['DFPT,JVASP-43776.zip,https://ndownloader.figshare.com/files/22955024', 'OPT-LOPTICS,JVASP-43776.zip,https://ndownloader.figshare.com/files/24820970', 'OPT-Bandst,JVASP-43776.zip,https://ndownloader.figshare.com/files/23946329', 'TBMBJ,JVASP-43776.zip,https://ndownloader.figshare.com/files/23667491', 'DFT-SCF,JVASP-43776.zip,https://ndownloader.figshare.com/files/23376425']",10,na,na,3.961,na,mp-777483,-Ge-N-O
JVASP-12984,13,P2/c,NaErCl4,-2.21856,OptB88vdW,4.891,"{'lattice_mat': [[0.0, 6.24777867193289, -0.0717889561281406], [7.6118159468589495, 0.0, 0.0], [0.0, -0.2392402332846015, -6.705028581770763]], 'coords': [[2.6953397438869366, 2.94446, -5.0646675], [4.916480256113065, 3.0640799999999997, -1.7121525], [6.416951539593226, -0.17943, -5.0287725], [1.1948684604067699, -0.05981, -1.6762575], [4.726048066620985, 4.535901514187921, -4.011082903832918], [4.726048066620985, 1.3530184858120768, -6.118252096167081], [0.7872206912470552, 1.2230644012735108, -6.257278694397715], [0.7872206912470552, 4.665855598726489, -3.872056305602285], [6.824599308752944, 4.785475598726489, -0.5195413056022854], [6.824599308752944, 1.3426844012735106, -2.904763694397715], [2.8857719333790164, 4.655521514187921, -0.6585679038329185], [2.8857719333790164, 1.472638485812077, -2.765737096167082]], 'elements': ['Na', 'Na', 'Er', 'Er', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl'], 'abc': [6.248192, 7.61182, 6.709297], 'angles': [90.0, 91.3852, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '']}",0.0,0.0,na,"[[35.0, 19.8, 17.0, 0.0, 1.2, -0.0], [19.8, 31.1, 18.7, -0.0, -4.1, -0.0], [17.0, 18.7, 46.1, 0.0, -6.5, -0.0], [0.0, -0.0, 0.0, 14.0, 0.0, 0.9], [1.2, -4.1, -6.5, 0.0, 11.3, -0.0], [0.0, 0.0, -0.0, 0.9, -0.0, 11.1]]","{'p': [14.28, 2.83, 6.9], 'n': [2.17, 3.85, 1.46]}",25,na,na,850,-2.45188,3.2371,3.2101,3.2447,2.6725,2.6544,2.6685,"[-0.41, -0.35, -0.32, 49.05, 49.96, 64.01, 64.36, 71.62, 77.15, 83.35, 84.86, 87.26, 89.69, 99.63, 103.42, 103.75, 125.52, 132.24, 161.0, 163.65, 168.11, 171.23, 176.45, 190.61, 193.57, 196.07, 196.75, 199.05, 212.38, 228.28, 238.3, 238.78, 260.64, 270.15, 276.92, 292.89]",0.0,na,na,na,82364,na,na,na,na,na,na,na,-327.33666666666664,381.40333333333336,936.1466666666665,524.08,8371.033333333335,3822.2000000000007,62146704666666.66,34254977999999.996,0.0,na,intercalated ion,[],<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-12984.xml target='_blank' >JVASP-12984</a>,bulk,na,13,monoclinic,3.457,0.31,"['FD-ELAST,JVASP-12984.zip,https://ndownloader.figshare.com/files/22990736', 'OPT-LOPTICS,JVASP-12984.zip,https://ndownloader.figshare.com/files/24235913', 'OPT-Bandst,JVASP-12984.zip,https://ndownloader.figshare.com/files/23789660', 'TBMBJ,JVASP-12984.zip,https://ndownloader.figshare.com/files/23604755', 'DFT-SCF,JVASP-12984.zip,https://ndownloader.figshare.com/files/23191148']",12,24.8,11.06,6.181,na,mp-29083,-Cl-Er-Na
